Timestamp,SpanId,ParentSpanId,TraceId,SpanName,DurationMs,Success,PromptVersion,TestName,TotalTokens,PromptTokens,CompletionTokens
2026-07-05 11:36:59.489815+00:00,6d9df5b12bec72d1,26ba01c27bec054d,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,13381,True,,,,,
2026-07-05 11:36:59.488818+00:00,26ba01c27bec054d,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_winter-hiking,13382,True,v4_optimized_concise,winter-hiking,1772,86,1686
2026-07-05 11:36:48.991457+00:00,229b79edc11a3a70,7bb94850bdea856e,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,10497,True,,,,,
2026-07-05 11:36:48.991457+00:00,7bb94850bdea856e,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_trail-difficulty,10497,True,v4_optimized_concise,trail-difficulty,1500,91,1409
2026-07-05 11:36:35.139308+00:00,8afe40e2177df750,ce16fe7798ccafb3,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,13852,True,,,,,
2026-07-05 11:36:35.138309+00:00,ce16fe7798ccafb3,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_three-day-backpacking,13853,True,v4_optimized_concise,three-day-backpacking,1822,94,1728
2026-07-05 11:36:20.699160+00:00,84e6bbcfa3a05498,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_overnight-camping,14439,True,v4_optimized_concise,overnight-camping,1669,82,1587
2026-07-05 11:36:20.699160+00:00,4a36796826f1ac52,84e6bbcfa3a05498,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,14439,True,,,,,
2026-07-05 11:36:13.619978+00:00,24d459b534e3eaad,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,v4_optimized_concise_day-hike-gear,7079,True,v4_optimized_concise,day-hike-gear,974,86,888
2026-07-05 11:36:13.619978+00:00,aaa83c84d56acb19,24d459b534e3eaad,b0ecaa0ea492986eb548515535ddbac6,chat gpt-5.1,7078,True,,,,,
2026-07-05 11:36:13.619978+00:00,a6c7dc9b52488230,b0ecaa0ea492986eb548515535ddbac6,b0ecaa0ea492986eb548515535ddbac6,trail_guide_v4_optimized_concise,59250,True,v4_optimized_concise,,,,
2026-07-05 11:36:00.742718+00:00,d63ffeddfae59ad5,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_winter-hiking,12852,True,v3,winter-hiking,1930,164,1766
2026-07-05 11:36:00.742718+00:00,493453e08d0524f8,d63ffeddfae59ad5,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,12852,True,,,,,
2026-07-05 11:35:49.671457+00:00,9338544e9048c6f5,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_trail-difficulty,11071,True,v3,trail-difficulty,1681,169,1512
2026-07-05 11:35:49.671457+00:00,3f7b815abb7d6d3b,9338544e9048c6f5,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,11071,True,,,,,
2026-07-05 11:35:35.791127+00:00,97fb263ade0fac92,fa0f0709dbceeac7,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,13879,True,,,,,
2026-07-05 11:35:35.790128+00:00,fa0f0709dbceeac7,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_three-day-backpacking,13881,True,v3,three-day-backpacking,1990,172,1818
2026-07-05 11:35:21.924851+00:00,8901fc7bd01d2e97,37db5223e4a6c20b,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,13865,True,,,,,
2026-07-05 11:35:21.924851+00:00,37db5223e4a6c20b,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_overnight-camping,13865,True,v3,overnight-camping,1797,160,1637
2026-07-05 11:35:15.661174+00:00,e54c8c2d0524e5f5,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,v3_day-hike-gear,6264,True,v3,day-hike-gear,833,164,669
2026-07-05 11:35:15.661174+00:00,2f13de4408b6b7ad,e54c8c2d0524e5f5,3c93250d5f7ac185291f29ef042a63b2,chat gpt-5.1,6264,True,,,,,
2026-07-05 11:35:15.661174+00:00,ce499ab50bc7c7a0,3c93250d5f7ac185291f29ef042a63b2,3c93250d5f7ac185291f29ef042a63b2,trail_guide_v3,57934,True,v3,,,,
2026-07-05 11:35:05.730577+00:00,20b4040f3c6ad252,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,v2_winter-hiking,9915,True,v2,winter-hiking,1478,108,1370
2026-07-05 11:35:05.730577+00:00,5122b7940217ca91,20b4040f3c6ad252,8e7e007e7bbcf3a6a2c2bc34611b20bf,chat gpt-5.1,9914,True,,,,,
2026-07-05 11:34:55.191822+00:00,e4861721f68d06cc,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,v2_trail-difficulty,10539,True,v2,trail-difficulty,1498,113,1385
2026-07-05 11:34:55.191822+00:00,47cd07e53f9dd4c5,e4861721f68d06cc,8e7e007e7bbcf3a6a2c2bc34611b20bf,chat gpt-5.1,10538,True,,,,,
2026-07-05 11:34:42.501097+00:00,3aaff3cf3089e91f,9a7b5cf7ef370fca,8e7e007e7bbcf3a6a2c2bc34611b20bf,chat gpt-5.1,12690,True,,,,,
2026-07-05 11:34:42.501097+00:00,9a7b5cf7ef370fca,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,v2_three-day-backpacking,12690,True,v2,three-day-backpacking,1721,116,1605
2026-07-05 11:34:29.220027+00:00,2a2f5fe1b1f0da05,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,v2_overnight-camping,13281,True,v2,overnight-camping,1852,104,1748
2026-07-05 11:34:29.220027+00:00,5c20cabf9bb317c2,2a2f5fe1b1f0da05,8e7e007e7bbcf3a6a2c2bc34611b20bf,chat gpt-5.1,13280,True,,,,,
2026-07-05 11:34:21.869768+00:00,b8d514055d967b67,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,v2_day-hike-gear,7350,True,v2,day-hike-gear,1044,108,936
2026-07-05 11:34:21.869768+00:00,2e9ac1218b17cc7a,b8d514055d967b67,8e7e007e7bbcf3a6a2c2bc34611b20bf,chat gpt-5.1,7350,True,,,,,
2026-07-05 11:34:21.869768+00:00,66884a3a04353262,8e7e007e7bbcf3a6a2c2bc34611b20bf,8e7e007e7bbcf3a6a2c2bc34611b20bf,trail_guide_v2,53775,True,v2,,,,
2026-07-05 11:34:15.369390+00:00,4c9ef3d055ed8349,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,v1_winter-hiking,6483,True,v1,winter-hiking,779,66,713
2026-07-05 11:34:15.369390+00:00,100a650df4b6e004,4c9ef3d055ed8349,dd129462858a63c9dfa6489222e5605b,chat gpt-5.1,6482,True,,,,,
2026-07-05 11:34:09.689021+00:00,4af2653fc66f33b0,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,v1_trail-difficulty,5680,True,v1,trail-difficulty,705,71,634
2026-07-05 11:34:09.689021+00:00,50b92fe8b09745df,4af2653fc66f33b0,dd129462858a63c9dfa6489222e5605b,chat gpt-5.1,5679,True,,,,,
2026-07-05 11:34:02.046829+00:00,2c86cc37668c9eee,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,v1_three-day-backpacking,7642,True,v1,three-day-backpacking,952,74,878
2026-07-05 11:34:02.046829+00:00,525e545bad03239a,2c86cc37668c9eee,dd129462858a63c9dfa6489222e5605b,chat gpt-5.1,7641,True,,,,,
2026-07-05 11:33:55.949618+00:00,39c1cbffaebac804,4eefa8da8edd29e7,dd129462858a63c9dfa6489222e5605b,chat gpt-5.1,6097,True,,,,,
2026-07-05 11:33:55.949618+00:00,4eefa8da8edd29e7,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,v1_overnight-camping,6097,True,v1,overnight-camping,771,62,709
2026-07-05 11:33:46.941268+00:00,12ad191abba57d1d,5706ebc3bb176430,dd129462858a63c9dfa6489222e5605b,chat gpt-5.1,9008,True,,,,,
2026-07-05 11:33:46.940266+00:00,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,dd129462858a63c9dfa6489222e5605b,trail_guide_v1,34913,True,v1,,,,
2026-07-05 11:33:46.940266+00:00,5706ebc3bb176430,e929cc9a81fa945e,dd129462858a63c9dfa6489222e5605b,v1_day-hike-gear,9009,True,v1,day-hike-gear,511,66,445
